SMControlTest.control.reset_state[3:0],SMControlTest.control.start,SMControlTest.control.mr3,SMControlTest.control.mr2,SMControlTest.control.mr1,SMControlTest.control.mr0,SMControlTest.control.s[3:0],SMControlTest.control.rsclear,SMControlTest.control.mdld,SMControlTest.control.mrld,SMControlTest.control.rsload,SMControlTest.control.rsshr
0,0,-,-,-,-,0,0,0,0,0,0
0,1,-,-,-,-,1,1,1,1,0,0
1,-,-,-,-,-,10,0,0,0,0,0
10,-,-,-,-,0,111,0,0,0,0,0
10,-,-,-,-,1,111,0,0,0,1,0
11,-,-,-,0,-,1000,0,0,0,0,0
11,-,-,-,1,-,1000,0,0,0,1,0
100,-,-,0,-,-,1001,0,0,0,0,0
100,-,-,1,-,-,1001,0,0,0,1,0
101,-,0,-,-,-,1010,0,0,0,0,0
101,-,1,-,-,-,1010,0,0,0,1,0
110,-,-,-,-,-,0,0,0,0,0,0
111,-,-,-,-,-,11,0,0,0,0,1
1000,-,-,-,-,-,100,0,0,0,0,1
1001,-,-,-,-,-,101,0,0,0,0,1
1010,-,-,-,-,-,110,0,0,0,0,1
